iter	Passed	Remaining
0	2	246
1	4	202
2	5	183
3	6	165
4	8	159
5	9	148
6	11	147
7	12	141
8	13	139
9	15	137
10	16	134
11	17	131
12	18	126
13	19	120
14	20	114
15	20	110
16	21	105
17	22	102
18	23	100
19	24	97
20	25	94
21	25	91
22	26	88
23	27	85
24	27	83
25	28	81
26	29	79
27	29	77
28	30	75
29	31	73
30	32	72
31	33	70
32	34	70
33	35	68
34	36	67
35	37	66
36	38	66
37	39	64
38	40	63
39	41	62
40	43	61
41	43	60
42	45	59
43	46	58
44	47	57
45	48	56
46	49	56
47	50	55
48	52	54
49	54	54
50	54	52
51	55	51
52	57	50
53	58	49
54	58	48
55	59	46
56	60	45
57	62	44
58	62	43
59	63	42
60	64	41
61	65	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	69	32
68	70	31
69	71	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	75	23
76	76	22
77	76	21
78	77	20
79	78	19
80	78	18
81	79	17
82	80	16
83	81	15
84	81	14
85	82	13
86	83	12
87	84	11
88	84	10
89	85	9
90	86	8
91	86	7
92	87	6
93	88	5
94	89	4
95	89	3
96	90	2
97	91	1
98	91	0
99	92	0
